Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status
champu-cafeina-canela,Champu Solido Cafeina y Canela,"<p>Anticaida, estimulante, sin sulfatos, vegano, hecho a mano en Espana</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, anticaida, cafeina, natural, vegano",true,Title,Default Title,10.99,SDA-CH-CAFEINA,deny,manual,true,true,active
champu-indigo-lavanda,Champu Solido Indigo y Lavanda,"<p>Calmante, anticaspa, cuero cabelludo sensible, sin sulfatos, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, anticaspa, indigo, lavanda, vegano",true,Title,Default Title,10.99,SDA-CH-INDIGO,deny,manual,true,true,active
champu-cacao,Champu Solido Cacao,"<p>Nutricion intensa, brillo, cabello seco, aroma chocolate, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, cacao, nutritivo, brillo, vegano",true,Title,Default Title,10.99,SDA-CH-CACAO,deny,manual,true,true,active
champu-betaina-sal,Champu Solido Betaina y Sal Marina,"<p>Suavidad extrema, limpieza suave, uso frecuente, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, betaina, sal marina, vegano",true,Title,Default Title,10.99,SDA-CH-BETAINA,deny,manual,true,true,active
champu-te-matcha,Champu Solido Te Matcha,"<p>Antioxidante, purificante, cuero cabelludo graso, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, matcha, antioxidante, purificante, vegano",true,Title,Default Title,10.99,SDA-CH-MATCHA,deny,manual,true,true,active
champu-cebolla-arcilla,Champu Solido Cebolla Roja y Arcilla,"<p>Anticaida, estimula el crecimiento, control de sebo, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, cebolla roja, arcilla, anticaida, vegano",true,Title,Default Title,10.99,SDA-CH-CEBOLLA,deny,manual,true,true,active
champu-avena-almendra,Champu Solido Avena y Almendra,"<p>Cuero cabelludo sensible, sin sulfatos, suavizante, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, avena, almendra, piel sensible, vegano",true,Title,Default Title,10.99,SDA-CH-AVENA,deny,manual,true,true,active
champu-romero-quina,Champu Solido Romero y Quina,"<p>Crecimiento capilar, anticaspa, anticaida, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, romero, quina, anticaida, vegano",true,Title,Default Title,10.99,SDA-CH-ROMERO,deny,manual,true,true,active
champu-cade-enebro,Champu Solido Cade de Enebro,"<p>Anticaspa, dermatitis, psoriasis capilar, vegano</p><ul><li>Sin sulfatos ni siliconas</li><li>Mas de 60 usos</li><li>Zero waste, sin plastico</li><li>Hecho a mano en Espana</li><li>Apto para veganos</li></ul>",Savia de Alma,Champu,"champu, cade, enebro, anticaspa, dermatitis, vegano",true,Title,Default Title,10.99,SDA-CH-CADE,deny,manual,true,true,active
champu-barba-carbon,Champu Solido para Barba - Carbon Activo,"<p>Limpieza detox, neutraliza olores, sin sulfatos, vegano, exclusivo web</p><ul><li>Carbon activo - limpieza detox profunda</li><li>Aceite de coco - nutre y suaviza la barba</li><li>Mas de 60 usos, sin plastico, 90g</li><li>Sin sulfatos, sin parabenos, vegano, cruelty free</li><li>Exclusivo web - hecho a mano en Espana</li></ul>",Savia de Alma,Champu,"champu, barba, carbon activo, hombre, exclusivo web, vegano",true,Title,Default Title,10.99,SDA-CH-BARBA,deny,manual,true,true,active
jabon-cbd,Jabon Artesanal CBD,"<p>Calmante, antiinflamatorio, pieles sensibles, premium, vegano</p><ul><li>CBD - calmante y antiinflamatorio natural</li><li>Aceite de oliva - hidratacion profunda</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, CBD, antiinflamatorio, piel sensible, vegano",true,Title,Default Title,9.99,SDA-JAB-CBD,deny,manual,true,true,active
jabon-naranja-canela,Jabon Artesanal Naranja y Canela,"<p>Energizante, antiseptico, aroma citrico, vegano</p><ul><li>Naranja - energizante y antiseptico natural</li><li>Aceite de oliva - hidratacion profunda</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, naranja, canela, antiseptico, vegano",true,Title,Default Title,9.99,SDA-JAB-NARANJA,deny,manual,true,true,active
jabon-borraja,Jabon Artesanal de Borraja,"<p>Regenerador, pieles maduras, eczemas, antiinflamatorio, vegano</p><ul><li>Borraja - regenerador y antiinflamatorio</li><li>Aceite de oliva - hidratacion profunda</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, borraja, regenerador, eczema, vegano",true,Title,Default Title,9.99,SDA-JAB-BORRAJA,deny,manual,true,true,active
jabon-karite,Jabon Artesanal de Karite,"<p>Hidratacion profunda, pieles sensibles, vegano</p><ul><li>Karite - hidratacion profunda y nutritiva</li><li>Aceite de oliva - suavidad y elasticidad</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, karite, hidratante, piel sensible, vegano",true,Title,Default Title,9.99,SDA-JAB-KARITE,deny,manual,true,true,active
jabon-arbol-te,Jabon Artesanal Arbol de Te,"<p>Antiseptico, purificante, antiacne, piel grasa, vegano</p><ul><li>Arbol de te - antiseptico y purificante natural</li><li>Aceite de coco - limpieza profunda</li><li>Sin plastico, zero waste, 100g</li><li>Vegano, cruelty free, hecho a mano en Espana</li><li>Saponificacion en frio, artesanal</li></ul>",Savia de Alma,Jabones,"jabon, arbol de te, antiseptico, antiacne, vegano",true,Title,Default Title,9.99,SDA-JAB-ARBOLTE,deny,manual,true,true,active
